Matematik 1c;Klass;Lärare;Blackebergs gymnasium;;;;; 
;;;Lektionsinnehåll;Sidor;Läxa;Video; ; 
;;;Info och böcker. Talmängder och negativa tal;11-Jul;;;; 
;;;Primtal och delbarhet;14-Dec;;;; 
;;;Bråk, addition, subtraktion, multiplikation och division av bråk ;15-22;;;; 
;;;Potenser med heltalsexponenten positiv, negativ eller noll;23-27;;;; 
;;;Prioriteringsregler och tal i decimalform;28-33;;;; 
;;;Värdesiffror, Tal i grundpotensform och prefix;34-36, 34-70;;;; 
;;;Binära tal, och andra talsystem;41-44;;;; 
;;;Algebraiska uttryck;58-60;;;; 
;;;Förenkla uttryck;61-63;;;; 
;;;Multiplicera och faktorisera;64-66;;;; 
;;;Ekvationer;67-71;;;; 
;;;Ekv med nämnare;72-73;;;; 
;;;Modellering;74-77;;;; 
;;;Potensekvationer;78-82;;;; 
;;;Olikheter;83-85;;;; 
;;;Formler och talföljder;86-91;;;; 
;;;Procent;108-110;;;; 
;;;Förändringsfaktor;111-114;;;; 
;;;Procentenheter och index;115-119;;;; 
;;;Ränta och lån;121-123;;;; 
;;;Olika typer av lån;127-131;;;; 
;;;Koordinater, linjära samband;142-146;;;; 
;;;Ekvation och graf;147-149;;;; 
;;;Proportionalitet;150-151;;;; 
;;;Från graf till ekvation;152-156;;;; 
;;;Räta linjen på enpunktsform;157-159;;;; 
;;;Grafräknare, vad är en funktion?;160-161;;;; 
;;;Funktioner;162-164;;;; 
;;;Definitionsmängd och värdemängd;165-167;;;; 
;;;Exponentialfunktioner;168-171;;;; 
;;;Forts., potensfunktioner;172-176;;;; 
;;;Tabeller och diagram;188-196;;;; 
;;;Sannolikhet: definitioner;216-219;;;; 
;;;Relativ frekvens;220-223;;;; 
;;;Produktregeln;225-226;;;; 
;;;Träddiagram;227-230;;;; 
;;;forts., komplementhändelse;231-233;;;; 
;;;Olika slags vinklar;244-246;;;; 
;;;Vinklar i trianglar;247-249;;;; 
;;;Vinklar i trianglar;247-249;;;; 
;;;Matematisk argumentation;250-253;;;; 
;;;Satser och bevis;254-257;;;; 
;;;Pythagoras sats;258-260;;;; 
;;;Likformiga trianglar;261-263;;;; 
;;;Tangens;264-266;;;; 
;;;Sinus och cosinus;267-269;;;; 
;;;Att betsämma vinklar;270-271;;;; 
;;;Vektorer;272-276;;;; 
;;;Räkna med vektorer;277-279;;;; 
;;;Subtraktion av vektorer;280-281;;;; 
;;;Vektorer i koordinatform;282-285;;;; 
