Matematik 3c;Klass;Lärare;Blackebergs gymnasium;;;
;;;Lektionsinnehåll;Sidor;Läxa;Video
;;;Introduktion. Värdet av ett polynom;10-Sep;;
;;;Multiplikation av polynom ;12-Nov;;
;;;Faktorisering av polynom ;13-14;;
;;;Enkla polynomekvationer;15-17;;
;;;Mer om polynomekv- ationer ;18-20;;
;;;Grafen till en polynomfunktion ;21-23;;
;;;Faktorer och nollställen ;24-26;;
;;;Förkortning och förlängning, Addition och subtraktion ;27-28, 29-30;;
;;;Multiplikation och division ;31-32;;
;;;Rationella funktioner;33-36;;
;;;Gränsvärden;37-39;;
;;;Mer om gränsvärden;stencil;;
;;;Räta linjens ekvation;52-55;;
;;;Sekantens lutning;56-58;;
;;;Tangentens lutning;59-63;;
;;;Derivatans definition;64-67;;
;;;Att använda derivata;68-71;;
;;;Absolutbelopp och deriverbarhet;72-74;;
;;;Derivatan av enkel potensfunktion;86-89;;
;;;Derivatan av polynomfunktion;90-91;;
;;;Mer om potensfunktioner;92-95;;
;;;Derivatan av ex;96-99;;
;;;Logaritmer;stencil;;
;;;Derivatan av ekx och ax;100-103;;
;;;Tillämpningar;103-108;;
;;;Växande och avtagande;120-123;;
;;;Derivatans nollställen;124-128;;
;;;Kurvkonstruktion mha derivata;129-131;;
;;;Andraderivatan konk och konv;132-135;;
;;;Andraderivatan och lokala extremp;136-138;;
;;;Extremvärdesproblem;139-142;;
;;;Primitiv funktion;154-156;;
;;;Primitiv fkn till potensfkn;157-159;;
;;;Primitiv fkn med villkor;160-162;;
;;;Area under kurva;163-167;;
;;;Samband derivata & integral;168-172;;
;;;Area mellan kurvor;173-176;;
;;;Tillämpningar;177-180;;
;;;Trig rätvinklig;192-195;;
;;;Enhetscirkeln;196-198;;
;;;Trig ekvationer;199-202;;
;;;Cirkelns ekvation;203-206;;
;;;Areasatsen;207-209;;
;;;Sinussatsen;210-212;;
;;;Cosinussatsen;213-215;;
;;;Använda triangelsatserna;216-219;;
