Matematik 4;Klass;Lärare;Blackebergs gymnasium;;;
;;;Lektionsinnehåll;Sidor;Läxa;Video
;;;Enhetscirkeln och trianglar;13-Oct;;
;;;Enhetscirkeln och formler;13-15;;
;;;Trigonometriska identiteter;15-18;;
;;;Add och subtrsformler för sin och cos ;19-22;;
;;;Formler för dubbla vinkeln;24-25;;
;;;Direkta bevis;26-28;;
;;;Indirekta bevis;29-31;;
;;;Grundekvationer;33-37;;
;;;Ekvation omformas med formler;38-29;;
;;;Tillämpningar och problemlösning;40-41;;
;;;Sin och coskurvor/grfritande räknare;52-55/56;;
;;;Förskjutna kurvor;58-59;;
;;;Ekvationen för en sinusformad kurva;60-61;;
;;;Kurvan y=tanx;62-64;;
;;;Kurvan asinx + bsinx;65-67;;
;;;Ett nytt vinkelmått (radianer);68-71;;
;;;Cirkelsektor och radianer;72-73;;
;;;Derivatan av sinx och cosx;74-76;;
;;;Derivatan av sammansatta funktioner;78-79;;
;;;Tillämpningar;80-84;;
;;;Kort om derivator;100-102;;
;;;Derivatan av produkt;104-106;;
;;;Derivatan av kvot;108-109;;
;;;Exp och logfunktioner;110-112;;
;;;Samband mellan förändringshastigheter;113-115;;
;;;Grafer och derivator;116-119;;
;;;Olika typer av grafer;120-123;;
;;;Kurvor och asymptoter;125-127;;
;;;Begreppet differentialekvation;128-129;;
;;;Diff.ekv. och matematiska modeller;130-133;;
;;;Integraler och prim. fkn/grafiska metoder;134-137/138-141;;
;;;Areor mellan kurvor;142-145;;
;;;Integraler och areor;146-149;;
;;;Integraler och storheter;150-153;;
;;;Sannolikhetsfördelning;154-158;;
;;;Tillämpningar och problemlösning;160-163;;
;;;Rotationsvolymer: skivmetoden;165-170;;
;;;De reella talen räcker inte till;184-187;;
;;;Konjugat, abs.belopp och de fyra räknes.;190-193;;
;;;Komplexa tal som vektorer;194-197;;
;;;Komplexa tal på polär form;199-202;;
;;;Mult. och div. i polär form;204-207;;
;;;Avläsa och rita i det komplexa talplanet;208-209;;
;;;De Moivres formel;210-212;;
;;;Ekvationen z^n=a;213-214;;
;;;Eulers formel;215-216;;
;;;Andragradsekv. (Läxa: liggande stolen);218-221;;
;;;Polynomdivision;222-224;;
;;;Faktorsatsen;225-227;;
;;;Polynomekv. av högre grad;229-231;;
